"title","blurb","time_minutes","servings","skill","ingredients","method","id","cookware","contains","allergen_notes","author","published_at","cuisine","spice_level","meal_types","calories","status","image_url","image_alt"
"Steamed Rice and Lentil Idli","Pillowy steamed rice cakes from a naturally fermented batter. Serve with coconut chutney or sambar.","45","4","Intermediate","300 g | idli rice
100 g | urad dal
1 tsp | fenugreek seeds
as needed | water
1 tsp | salt","Soak: Rinse the rice and the urad dal separately. Soak the dal with the fenugreek seeds and soak the rice on its own for four to six hours.
Grind: Grind the dal to a light, airy batter and the rice to a slightly grainy one. Fold the two together with the salt.
Ferment: Cover and leave in a warm spot for eight to twelve hours, until the batter has risen and smells tangy.
Steam: Oil the idli plates, spoon in the batter and steam over medium heat for twelve to fifteen minutes.
Serve: Rest for two minutes, then lift the idli out with a wet spoon and serve hot.","steamed-idli","Idli stand or plates
Steamer or pressure cooker
Wet grinder or blender","","","Vegan Cook","2026-08-01","Indian","Mild","Breakfast","180","published","",""
"Yellow Lentil Dal with Steamed Rice","Soft moong dal finished with a hot cumin and garlic tempering, spooned over steamed rice.","30","4","Beginner","1 cup | yellow moong dal
1/2 tsp | turmeric
1 tsp | cumin seeds
3 cloves | garlic, sliced
1 | tomato, chopped
1 tbsp | oil
to taste | salt","Cook the dal: Pressure cook the rinsed moong dal with turmeric, salt and three cups of water for three whistles.
Make the tempering: Heat the oil, add the cumin seeds and garlic and fry until fragrant and golden.
Add the tomato: Stir in the tomato and cook until it collapses.
Finish: Pour the tempering into the dal, simmer five minutes and serve with steamed rice.","yellow-dal","Pressure cooker
Small pan","","","Vegan Cook","2026-08-01","Indian","Mild","Lunch","320","published","",""
"Crisp Fermented Rice and Lentil Dosa","Lacy golden crepes from a fermented rice and urad dal batter, crisp at the edges.","20","4","Intermediate","200 g | dosa rice
70 g | urad dal
1/2 tsp | fenugreek seeds
1 tsp | salt
2 tbsp | oil","Soak and grind: Soak the rice and the dal with fenugreek separately for five hours, then grind each to a smooth batter and combine with the salt.
Ferment: Leave covered in a warm place for eight to twelve hours, then thin with water to a pouring consistency.
Heat the pan: Bring a tawa to medium high heat and wipe it with a little oil.
Spread: Pour a ladle of batter in the centre and spread outwards in a spiral.
Crisp: Drizzle oil around the rim and cook until the base is deep golden, then fold and serve hot.","crispy-dosa","Cast iron tawa or griddle
Blender
Ladle","","","Vegan Cook","2026-08-01","Indian","Medium","Breakfast","220","published","",""
"Creamy Chickpea Hummus with Warm Pita","Chickpeas whipped with tahini and lemon until silky, served with warm flatbread.","15","3","Beginner","400 g | cooked chickpeas, drained
3 tbsp | tahini
2 tbsp | lemon juice
2 cloves | garlic
2 tbsp | olive oil
3 pieces | pita bread
3 tbsp | ice cold water","Blend: Blitz the chickpeas, tahini, lemon juice and garlic, adding the ice cold water a spoon at a time until pale and smooth.
Season: Taste and adjust the salt and lemon.
Serve: Spread into a bowl, swirl with olive oil and serve with warm pita.","hummus-pita","Food processor","Gluten","Contains sesame from the tahini. Pita bread contains gluten.","Vegan Cook","2026-08-01","Middle Eastern","Mild","Snack","350","published","",""
"Braised Chickpeas with Preserved Lemon","A slow, savoury chickpea braise lifted by preserved lemon and warm spices.","40","4","Intermediate","500 g | cooked chickpeas
1/2 | preserved lemon, finely chopped
1 | onion, sliced
3 cloves | garlic
500 ml | vegetable broth
2 tbsp | olive oil
1 tsp | ground cumin","Build the base: Soften the onion and garlic in the olive oil until translucent.
Add the spices: Stir in the cumin and cook for a minute.
Braise: Add the chickpeas, broth and preserved lemon and simmer gently for twenty five minutes.
Serve: Season and serve warm with bread or rice.","lemon-chickpea","Heavy pot","","","Vegan Cook","2026-08-01","Mediterranean","Medium","Dinner","310","published","",""
"Savoury Semolina Upma with Vegetables","Toasted semolina steamed with vegetables and a mustard seed tempering.","25","3","Beginner","1 cup | semolina
1 cup | mixed vegetables, diced
1 tsp | mustard seeds
2 | green chillies, split
2.5 cups | water
2 tbsp | oil
to taste | salt","Toast: Dry roast the semolina over low heat until it smells nutty, then set aside.
Temper: Heat the oil, pop the mustard seeds, add the chillies and vegetables and cook until just tender.
Boil: Pour in the water with the salt and bring to a rolling boil.
Steam: Rain in the semolina while stirring, cover and cook on low until the water is absorbed and the grains are fluffy.","vegetable-upma","Heavy pan","Gluten","","Vegan Cook","2026-08-01","Indian","Medium","Breakfast","240","published","",""
"Tangy Lemon Rice with Peanuts","Cooked rice tossed with turmeric, curry leaves, fried peanuts and plenty of lemon.","20","4","Beginner","3 cups | cooked rice, cooled
3 tbsp | lemon juice
1/4 cup | raw peanuts
1 tsp | mustard seeds
1/2 tsp | turmeric
1 sprig | curry leaves
2 tbsp | oil","Fry the peanuts: Warm the oil and fry the peanuts until golden, then lift them out.
Temper: Pop the mustard seeds in the same oil, add the curry leaves and turmeric.
Toss: Fold in the rice with salt until every grain is coated and warmed through.
Finish: Off the heat, stir through the lemon juice and the fried peanuts.","lemon-rice","Wide pan","Peanut","","Vegan Cook","2026-08-01","Indian","Mild","Lunch","290","published","",""
"Potato Stuffed Wholewheat Paratha","Wholewheat flatbread packed with spiced mashed potato and griddled until blistered.","35","3","Intermediate","2 cups | wholewheat flour
3 | potatoes, boiled and mashed
1/2 tsp | garam masala
1 | green chilli, minced
3 tbsp | oil
to taste | salt","Make the dough: Knead the flour with water and a pinch of salt into a soft dough and rest it for fifteen minutes.
Make the filling: Mix the mashed potato with the garam masala, chilli and salt.
Stuff and roll: Flatten a ball of dough, seal a spoon of filling inside and roll out gently into a round.
Griddle: Cook on a hot tawa with a little oil until golden spots appear on both sides.","aloo-paratha","Rolling pin
Tawa or heavy griddle","Gluten","","Vegan Cook","2026-08-01","Indian","Medium","Breakfast","340","published","",""
"Roasted Tomato and Basil Soup","Slow roasted tomatoes and garlic blended smooth with fresh basil.","40","4","Beginner","1 kg | tomatoes, halved
4 cloves | garlic
1/2 cup | basil leaves
500 ml | vegetable stock
2 tbsp | olive oil","Roast: Toss the tomatoes and garlic with the olive oil and roast at 200C for thirty minutes.
Blend: Blitz the roasted vegetables with the basil and the stock until smooth.
Simmer: Warm through in a pot for ten minutes, season and serve.","tomato-soup","Baking tray
Blender
Pot","","","Vegan Cook","2026-08-01","Mediterranean","Mild","Lunch","190","published","",""
"Crisp Tofu and Vegetable Stir Fry","Golden pan fried tofu tossed with crunchy vegetables in a ginger and soy glaze.","25","3","Beginner","300 g | firm tofu, cubed
1 cup | broccoli florets
1 cup | bell peppers, sliced
3 tbsp | soy sauce
1 tbsp | ginger, grated
1 tbsp | sesame oil","Crisp the tofu: Press the tofu, then fry in the sesame oil until golden on all sides and set aside.
Stir fry: Cook the broccoli and peppers over high heat until bright and tender crisp.
Glaze: Return the tofu, add the soy sauce and ginger and toss until everything is coated.","vegetable-stir-fry","Wok","Soy, Gluten","Contains sesame oil. Use tamari to keep the dish gluten free.","Vegan Cook","2026-08-01","Chinese","Medium","Dinner","270","published","",""
